rank,rubber,speed,spin,control,tacky,weight,sponge_hardness,gears,throw_angle,consistency,durable,overall,ratings,price
1.,Victas Ventus Extra,9.2,9.4,9.4,0.9,5.8,6.8,9.2,4.7,9.6,9.4,9.4,42,$ 36.00
2.,Gewo Proton Neo 450,9.0,9.3,9.4,0.0,4.0,4.6,8.5,6.2,8.8,9.4,9.4,14,$ 34.00
3.,Donic BlueGrip V1,8.9,9.4,8.3,7.8,6.4,7.8,8.8,5.5,9.5,9.3,9.1,15,$ 40.00
4.,Yasaka Rigan Spin,8.7,9.3,9.4,1.8,4.2,4.8,8.9,4.2,9.4,9.3,9.4,12,$ 35.00
5.,Yasaka Anti Power (Anti-spin),4.4,2.5,8.8,1.2,4.1,1.9,3.6,2.3,8.3,9.3,9.2,22,$ 32.95
6.,Andro Rasanter R53,9.5,9.4,8.9,1.4,7.6,9.1,9.4,6.2,9.2,9.2,9.4,38,$ 58.00
7.,Juic Neo Anti (Anti-spin),4.5,3.5,9.2,0.4,3.8,1.0,6.3,2.6,9.4,9.2,9.0,12,$ 32.00
8.,Andro Impuls Powersponge,8.5,9.2,9.3,1.7,3.2,3.4,8.0,5.5,8.9,9.2,9.2,12,$ 47.00
9.,Xiom Tau,8.6,9.5,8.7,6.4,5.5,8.3,8.4,7.5,9.6,9.2,8.9,17,$ 75.00
10.,Yasaka Valmo,9.2,9.2,9.0,2.1,4.7,6.4,8.6,4.6,9.2,9.2,9.4,28,$ 46.00
11.,Stiga Magna TX,9.1,9.3,8.8,2.9,3.4,6.2,8.0,4.6,10.0,9.1,9.3,16,$ 55.00
12.,Nittaku Fastarc P-1,9.3,9.3,9.0,2.9,5.5,5.6,9.3,6.0,9.2,9.1,9.3,32,$ 49.00
13.,Nittaku Flyatt Spin,8.9,9.2,9.3,2.1,3.8,4.2,8.8,4.4,10.0,9.1,9.3,10,$ 25.00
14.,Andro Rasant Turbo,9.5,9.1,8.4,1.5,5.9,7.0,8.9,5.1,9.4,9.1,9.4,39,$ 43.00
15.,TSP Agrit,8.9,9.3,9.4,1.3,1.6,4.6,8.1,6.5,10.0,9.0,9.2,20,$ 49.00
16.,Tibhar Quantum S,8.8,9.4,9.2,1.8,3.7,4.6,9.3,3.8,9.6,9.0,9.3,13,$ 62.00
17.,Nittaku Goriki Kaisoku,9.4,9.1,9.1,1.6,5.6,6.0,8.3,4.4,10.0,9.0,9.3,13,$ 38.00
18.,TSP Super Ventus,9.2,9.5,9.4,1.4,5.8,6.8,9.4,5.2,9.5,9.0,9.4,58,$ 34.00
19.,Victas VJC > 07 Sticky Extra,8.4,9.2,9.4,3.3,5.2,6.2,7.7,6.2,10.0,8.9,9.2,13,$ 46.00
20.,Andro Plaxon 400,8.6,9.1,9.3,0.4,3.8,4.1,8.8,4.5,9.4,8.9,9.0,14,$ 44.00
21.,Tuttle Prevention Arc,5.4,5.7,9.2,0.0,1.6,0.8,1.3,1.1,10.0,8.9,8.8,11,$ 11.00
22.,DHS Skyline TG3 (No. 21 Blue Sponge),8.8,9.4,8.8,6.8,4.4,6.3,8.2,6.2,7.2,8.9,9.0,13,$ 18.00
23.,Nittaku Hammond Pro Beta,8.9,8.7,9.1,1.9,2.2,3.3,8.3,2.5,9.9,8.9,9.3,45,$ 49.00
24.,Tibhar Grip-S Europe Soft,8.4,9.3,8.9,5.1,4.1,4.6,8.8,7.0,10.0,8.8,9.3,17,$ 45.00
25.,Tibhar 5Q VIP,8.6,9.3,9.0,1.8,4.2,5.2,9.0,6.0,10.0,8.8,9.2,13,$ 42.00
26.,Gewo Proton Neo 475,9.4,9.4,9.3,0.2,5.8,7.0,7.3,3.3,9.4,8.8,9.3,11,$ 43.00
27.,Victas VJ > 07 Stiff,9.0,9.3,9.3,0.4,4.0,4.8,8.6,4.5,9.4,8.8,9.4,11,$ 45.00
28.,Nittaku Fastarc G-1,9.0,9.3,9.1,2.3,5.5,6.7,9.1,6.1,9.7,8.8,9.4,185,$ 60.00
29.,Yinhe Mercury III EURO,8.8,8.7,9.2,0.4,3.6,4.4,7.2,4.9,8.8,8.8,9.1,20,$ 18.00
30.,Xiom Sigma 1 Euro,9.3,9.3,9.1,1.9,5.4,5.5,9.0,4.9,9.8,8.7,9.4,56,$ 85.00
31.,JOOLA Tronix ACC,9.0,9.4,9.4,1.6,4.0,6.1,8.1,6.2,10.0,8.7,9.5,11,$ 46.00
32.,Donic BlueGrip C1,9.1,9.3,8.7,6.9,9.5,10.0,8.7,6.9,10.0,8.7,9.0,10,$ 55.00
33.,Gewo Flexxon Soft,8.7,9.4,9.4,1.7,2.8,1.2,7.6,6.6,8.5,8.7,9.3,12,$ 58.00
34.,DHS Hurricane 3 (Provincial),8.5,9.3,8.7,8.3,6.7,7.2,9.0,6.5,8.3,8.7,9.2,41,$ 50.00
35.,Yasaka Mark V,8.0,8.1,8.7,2.6,4.0,4.5,7.6,4.4,9.4,8.7,8.7,211,$ 37.00
36.,Butterfly Tackifire Special-Soft,7.9,9.1,9.1,3.4,5.9,3.4,8.3,5.6,9.6,8.7,8.9,20,$ 51.00
37.,Killerspin Fortissimo,9.5,8.9,8.9,2.6,4.0,4.4,8.4,3.7,9.6,8.7,9.3,30,$ 52.00
38.,Butterfly Aibiss,8.5,9.3,9.3,4.7,4.0,9.9,8.3,6.2,9.8,8.7,9.1,22,$ 40.00
39.,Xiom Omega V Asia,9.4,9.5,9.1,2.1,5.8,7.7,9.1,6.1,9.7,8.7,9.4,45,$ 40.00
40.,Yasaka Mark V HPS Soft,8.8,9.0,8.7,2.6,3.9,3.1,8.3,4.3,9.8,8.7,9.0,29,$ 44.00
41.,JOOLA MAXXX-P,9.1,9.3,9.4,2.1,4.2,5.0,8.3,4.8,8.9,8.7,9.4,29,$ 46.00
42.,Nittaku Flyatt Hard,9.0,8.8,8.7,2.6,3.5,6.6,7.9,4.3,9.0,8.7,9.0,23,$ 25.00
43.,DHS Gold Arc 3,8.8,9.1,9.2,5.1,5.5,6.5,9.3,5.5,9.2,8.7,9.3,17,$ 39.00
44.,Yasaka Rakza 9,9.4,9.3,8.9,2.3,4.6,6.3,8.8,4.3,9.3,8.7,9.4,78,$ 53.00
45.,Butterfly Dignics 80,9.4,9.1,8.9,1.7,5.8,6.6,8.2,5.5,9.7,8.7,9.3,29,$ 94.00
46.,Friendship/729 Battle II Provincial Gold,9.1,9.5,8.6,8.5,5.4,8.4,9.2,4.8,8.5,8.6,9.1,15,$ 26.00
47.,Nittaku Galze,8.8,9.1,9.0,1.5,4.2,5.7,9.1,4.4,10.0,8.6,9.3,11,$ 55.00
48.,Yinhe Earth 2,8.7,8.1,8.9,3.1,3.8,3.4,5.8,4.8,9.3,8.6,8.8,10,$ 18.00
49.,Andro Plasma Women,8.6,8.7,8.9,1.2,1.1,0.4,8.5,6.9,9.6,8.6,9.2,20,$ 37.00
50.,Victas V > 01 Stiff,9.2,9.3,9.3,1.5,4.4,4.8,8.3,5.6,9.4,8.6,9.3,34,$ 36.00
51.,Butterfly Tackiness Drive,6.9,8.4,8.9,5.5,4.2,4.9,6.7,5.1,9.8,8.6,8.5,43,$ 50.00
52.,Friendship/729 Battle II Provincial Blue Sponge,8.9,9.4,9.1,8.6,6.1,8.5,9.4,3.7,9.1,8.6,9.4,47,$ 34.00
53.,Yasaka Zap Biotech 36-38,8.0,8.3,8.5,2.6,4.3,3.0,7.0,5.1,6.7,8.6,8.8,13,$ 46.00
54.,Friendship/729 729-08 Pro,8.6,9.3,8.9,4.5,4.0,7.9,7.9,6.6,8.6,8.6,9.2,10,$ 39.00
55.,Gewo Mega Flex Control,7.3,8.6,9.4,0.4,3.8,4.0,5.7,4.5,8.9,8.6,9.1,13,$ 35.00
56.,Gewo Codexx EL Pro 52,8.3,9.4,9.3,7.6,6.4,9.7,8.1,5.8,9.5,8.6,9.2,11,$ 49.00
57.,JOOLA Rhyzm-P,9.2,9.4,9.3,2.3,4.4,5.9,8.8,5.5,9.6,8.6,9.4,48,$ 42.00
58.,Andro Rasanter V47,9.3,9.0,9.0,1.5,5.0,6.6,8.3,5.3,9.0,8.5,9.0,21,$ 50.00
59.,Nittaku Alhelg SR,9.1,9.4,9.0,4.3,6.0,7.2,8.8,4.8,8.8,8.5,9.2,16,$ 60.00
60.,Andro Rasant Beat,8.8,9.1,9.3,1.7,2.9,1.6,8.8,4.4,9.7,8.5,9.2,22,$ 56.00
61.,DHS Hurricane 3 Provincial (No. 22 Blue Sponge),9.2,9.4,9.3,7.6,6.3,7.7,8.6,6.1,8.7,8.5,9.4,37,$ 55.00
62.,Butterfly Dignics 05,9.1,9.4,8.8,1.8,4.9,7.0,8.4,6.3,8.7,8.5,9.3,78,$ 94.00
63.,Gewo Nexxus EL Pro 53 Hard,9.3,9.1,8.9,0.9,6.6,8.3,8.3,2.3,9.1,8.5,9.2,16,$ 60.00
64.,Tibhar 5Q Update,9.1,9.1,9.0,2.4,4.8,5.1,9.1,5.8,10.0,8.5,9.4,10,$ 58.00
65.,Victas VS > 401,7.8,9.4,9.3,1.9,8.5,8.1,8.4,4.4,8.8,8.5,9.2,32,$ 41.00
66.,Yasaka Mark V XS,8.4,8.7,8.4,3.2,3.6,4.1,7.4,3.4,8.6,8.5,8.9,19,$ 46.00
